Name,Total invested,Current valuation,Net profit,Absolute profit,Total installments,Internal rate of return,SIP start date,SIP end date
Principal Credit Risk Fund - Direct Plan - Debt - Credit Opportunities : Growth,"₹ 330,000.00","₹ 414,819.08","₹ 84,819.08",25.70%,66,8.30%,02-02-2013,25-07-2018
Principal Credit Risk Fund - Direct Plan - Debt - Credit Opportunities : Dividend-Monthly,"₹ 330,000.00","₹ 329,668.21",₹ -331.79,-0.10%,66,-0.04%,02-02-2013,25-07-2018
Principal Dynamic Bond Fund - Direct Plan - Debt - Dynamic Bond : Dividend-Quarterly,"₹ 330,000.00","₹ 335,278.55","₹ 5,278.55",1.60%,66,0.57%,02-02-2013,25-07-2018
Principal Dynamic Bond Fund - Direct Plan - Debt - Dynamic Bond : Dividend-Annual,"₹ 330,000.00","₹ 321,609.54","₹ -8,390.46",-2.54%,66,-0.93%,02-02-2013,25-07-2018
Principal Dynamic Bond Fund - Direct Plan - Debt - Dynamic Bond : Growth,"₹ 330,000.00","₹ 407,281.98","₹ 77,281.98",23.42%,66,7.63%,02-02-2013,25-07-2018
Principal Low Duration Fund - Direct Plan - Debt - Ultra Short Term : Dividend-Monthly,"₹ 330,000.00","₹ 329,495.06",₹ -504.94,-0.15%,66,-0.06%,02-02-2013,25-07-2018
Principal Low Duration Fund - Direct Plan - Debt - Ultra Short Term : Growth,"₹ 330,000.00","₹ 416,612.28","₹ 86,612.28",26.25%,66,8.46%,02-02-2013,25-07-2018
Principal Short Term Debt Fund - Direct Plan - Debt - Short Term : Growth,"₹ 330,000.00","₹ 413,384.12","₹ 83,384.12",25.27%,66,8.17%,02-02-2013,25-07-2018
Principal Short Term Debt Fund - Direct Plan - Debt - Short Term : Dividend-Monthly,"₹ 330,000.00","₹ 329,777.70",₹ -222.30,-0.07%,66,-0.02%,02-02-2013,25-07-2018
Principal Ultra Short Term Fund - Direct Plan - Debt - Ultra Short Term : Dividend-Monthly,"₹ 330,000.00","₹ 329,669.87",₹ -330.13,-0.10%,66,-0.04%,02-02-2013,25-07-2018
Principal Ultra Short Term Fund - Direct Plan - Debt - Ultra Short Term : Growth,"₹ 330,000.00","₹ 412,275.63","₹ 82,275.63",24.93%,66,8.07%,02-02-2013,25-07-2018
Principal Dividend Yield Fund - Direct Plan - Equity - MultiCap : Dividend,"₹ 330,000.00","₹ 437,783.95","₹ 107,783.95",32.66%,66,10.27%,02-02-2013,25-07-2018
Principal Dividend Yield Fund - Direct Plan - Equity - MultiCap : Growth,"₹ 330,000.00","₹ 522,661.14","₹ 192,661.14",58.38%,66,16.78%,02-02-2013,25-07-2018
Principal Emerging Bluechip Fund - Direct Plan - Equity - Midcap : Growth,"₹ 330,000.00","₹ 633,924.00","₹ 303,924.00",92.10%,66,23.98%,02-02-2013,25-07-2018
Principal Emerging Bluechip Fund - Direct Plan - Equity - Midcap : Dividend,"₹ 330,000.00","₹ 633,908.01","₹ 303,908.01",92.09%,66,23.98%,02-02-2013,25-07-2018
Principal Focused Multicap Fund - Direct Plan - Equity - LargeCap : Dividend,"₹ 330,000.00","₹ 352,193.18","₹ 22,193.18",6.73%,66,2.35%,02-02-2013,25-07-2018
Principal Focused Multicap Fund - Direct Plan - Equity - LargeCap : Growth,"₹ 330,000.00","₹ 496,403.02","₹ 166,403.02",50.43%,66,14.88%,02-02-2013,25-07-2018
Principal Global Opportunities Fund - Direct Plan - Equity - International Funds : Growth,"₹ 330,000.00","₹ 446,536.88","₹ 116,536.88",35.31%,66,10.99%,02-02-2013,25-07-2018
Principal Global Opportunities Fund - Direct Plan - Equity - International Funds : Dividend,"₹ 330,000.00","₹ 446,536.88","₹ 116,536.88",35.31%,66,10.99%,02-02-2013,25-07-2018
Principal Multi Cap Growth Fund - Direct Plan - Equity - MultiCap : Dividend,"₹ 330,000.00","₹ 395,515.79","₹ 65,515.79",19.85%,66,6.56%,02-02-2013,25-07-2018
Principal Multi Cap Growth Fund - Direct Plan - Equity - MultiCap : Growth,"₹ 330,000.00","₹ 544,131.13","₹ 214,131.13",64.89%,66,18.28%,02-02-2013,25-07-2018
Principal Nifty 100 Equal Weight Fund - Direct Plan - Equity - LargeCap : Dividend,"₹ 330,000.00","₹ 451,945.47","₹ 121,945.47",36.95%,66,11.43%,02-02-2013,25-07-2018
Principal Nifty 100 Equal Weight Fund - Direct Plan - Equity - LargeCap : Growth,"₹ 330,000.00","₹ 451,949.90","₹ 121,949.90",36.95%,66,11.43%,02-02-2013,25-07-2018
Principal Tax Savings Fund - Direct Plan - Equity - Tax Planning : Growth,"₹ 330,000.00","₹ 537,862.78","₹ 207,862.78",62.99%,66,17.85%,02-02-2013,25-07-2018
Quantum Dynamic Bond Fund - Direct Plan - Debt - Dynamic Bond : Dividend-Monthly,"₹ 195,000.00","₹ 195,108.20",₹ 108.20,0.06%,39,0.03%,02-02-2013,25-07-2018
Quantum Dynamic Bond Fund - Direct Plan - Debt - Dynamic Bond : Growth,"₹ 195,000.00","₹ 216,711.02","₹ 21,711.02",11.13%,39,6.53%,02-02-2013,25-07-2018
Quantum Liquid Fund - Direct Plan - Debt - Liquid : Growth,"₹ 330,000.00","₹ 399,795.52","₹ 69,795.52",21.15%,66,6.95%,02-02-2013,25-07-2018
Quantum Liquid Fund - Direct Plan - Debt - Liquid : Dividend-Monthly,"₹ 330,000.00","₹ 329,501.63",₹ -498.37,-0.15%,66,-0.05%,02-02-2013,25-07-2018
Quantum Equity Fund of Funds - Direct Plan - Equity - MultiCap : Dividend,"₹ 330,000.00","₹ 506,277.11","₹ 176,277.11",53.42%,66,15.61%,02-02-2013,25-07-2018
Quantum Equity Fund of Funds - Direct Plan - Equity - MultiCap : Growth,"₹ 330,000.00","₹ 506,283.69","₹ 176,283.69",53.42%,66,15.61%,02-02-2013,25-07-2018
Quantum Long Term Equity Value Fund - Direct Plan - Equity - LargeCap : Dividend,"₹ 330,000.00","₹ 472,780.26","₹ 142,780.26",43.27%,66,13.09%,02-02-2013,25-07-2018
Quantum Long Term Equity Value Fund - Direct Plan - Equity - LargeCap : Growth,"₹ 330,000.00","₹ 472,779.95","₹ 142,779.95",43.27%,66,13.09%,02-02-2013,25-07-2018
Quantum Gold Savings Fund - Direct Plan - Gold Fund : Growth,"₹ 330,000.00","₹ 334,727.40","₹ 4,727.40",1.43%,66,0.51%,02-02-2013,25-07-2018
Quantum Multi Asset Fund - Direct Plan - Hybrid - Others : Growth,"₹ 330,000.00","₹ 419,535.63","₹ 89,535.63",27.13%,66,8.71%,02-02-2013,25-07-2018
Quantum Tax Saving Fund - Direct Plan - Equity - Tax Planning : Growth,"₹ 330,000.00","₹ 474,024.35","₹ 144,024.35",43.64%,66,13.18%,02-02-2013,25-07-2018
Quantum Tax Saving Fund - Direct Plan - Equity - Tax Planning : Dividend,"₹ 330,000.00","₹ 474,059.14","₹ 144,059.14",43.65%,66,13.19%,02-02-2013,25-07-2018
Reliance Arbitrage Fund - Direct Plan - Hybrid - Arbitrage : Growth,"₹ 330,000.00","₹ 404,630.29","₹ 74,630.29",22.62%,66,7.39%,02-02-2013,25-07-2018
Reliance Arbitrage Fund - Direct Plan - Hybrid - Arbitrage : Dividend-Monthly,"₹ 260,000.00","₹ 266,799.43","₹ 6,799.43",2.62%,52,1.18%,02-02-2013,25-07-2018
Reliance Arbitrage Fund - Direct Plan - Hybrid - Arbitrage : Dividend,"₹ 330,000.00","₹ 339,401.35","₹ 9,401.35",2.85%,66,1.01%,02-02-2013,25-07-2018
Reliance Equity Hybrid Fund - Direct Plan - Hybrid - Equity Oriented : Dividend-Quarterly,"₹ 290,000.00","₹ 317,899.29","₹ 27,899.29",9.62%,58,3.79%,02-02-2013,25-07-2018
Reliance Equity Hybrid Fund - Direct Plan - Hybrid - Equity Oriented : Dividend,"₹ 330,000.00","₹ 391,987.10","₹ 61,987.10",18.78%,66,6.24%,02-02-2013,25-07-2018
Reliance Equity Hybrid Fund - Direct Plan - Hybrid - Equity Oriented : Dividend-Monthly,"₹ 120,000.00","₹ 122,400.72","₹ 2,400.72",2.00%,24,1.96%,02-02-2013,25-07-2018
Reliance Equity Hybrid Fund - Direct Plan - Hybrid - Equity Oriented : Growth,"₹ 330,000.00","₹ 512,238.36","₹ 182,238.36",55.22%,66,16.04%,02-02-2013,25-07-2018
Reliance Equity Savings Fund - Direct Plan - Hybrid - Equity Oriented : Dividend-Quarterly,"₹ 190,000.00","₹ 198,976.18","₹ 8,976.18",4.72%,38,2.90%,02-02-2013,25-07-2018
Reliance Equity Savings Fund - Direct Plan - Hybrid - Equity Oriented : Growth,"₹ 190,000.00","₹ 220,284.72","₹ 30,284.72",15.94%,38,9.44%,02-02-2013,25-07-2018
Reliance Equity Savings Fund - Direct Plan - Hybrid - Equity Oriented : Dividend-Monthly,"₹ 190,000.00","₹ 199,103.96","₹ 9,103.96",4.79%,38,2.94%,02-02-2013,25-07-2018
Reliance Equity Savings Fund - Direct Plan - Hybrid - Equity Oriented : Dividend,"₹ 190,000.00","₹ 204,756.24","₹ 14,756.24",7.77%,38,4.72%,02-02-2013,25-07-2018
Reliance Hybrid Bond Fund - Direct Plan - Hybrid - Debt-oriented Conservative : Dividend-Monthly,"₹ 330,000.00","₹ 342,465.08","₹ 12,465.08",3.78%,66,1.34%,02-02-2013,25-07-2018
Reliance Hybrid Bond Fund - Direct Plan - Hybrid - Debt-oriented Conservative : Growth,"₹ 330,000.00","₹ 430,178.62","₹ 100,178.62",30.36%,66,9.63%,02-02-2013,25-07-2018
Reliance Hybrid Bond Fund - Direct Plan - Hybrid - Debt-oriented Conservative : Dividend-Quarterly,"₹ 330,000.00","₹ 339,841.44","₹ 9,841.44",2.98%,66,1.06%,02-02-2013,25-07-2018
Reliance Retirement Fund - Income Generation Scheme - Direct Plan - Hybrid - Debt-oriented Conservative : Growth,"₹ 210,000.00","₹ 232,796.79","₹ 22,796.79",10.86%,42,5.90%,02-02-2013,25-07-2018
Reliance Retirement Fund - Income Generation Scheme - Direct Plan - Hybrid - Debt-oriented Conservative : Dividend,"₹ 210,000.00","₹ 232,796.79","₹ 22,796.79",10.86%,42,5.90%,02-02-2013,25-07-2018
Reliance Balanced Advantage Fund - Direct Plan - Equity - LargeCap : Dividend,"₹ 330,000.00","₹ 383,899.11","₹ 53,899.11",16.33%,66,5.48%,02-02-2013,25-07-2018
Reliance Balanced Advantage Fund - Direct Plan - Equity - LargeCap : Growth,"₹ 330,000.00","₹ 470,062.87","₹ 140,062.87",42.44%,66,12.87%,02-02-2013,25-07-2018
Reliance Banking Fund - Direct Plan - Equity - Banking : Growth,"₹ 330,000.00","₹ 565,774.88","₹ 235,774.88",71.45%,66,19.73%,02-02-2013,25-07-2018
Reliance Banking Fund - Direct Plan - Equity - Banking : Dividend,"₹ 330,000.00","₹ 427,362.91","₹ 97,362.91",29.50%,66,9.39%,02-02-2013,25-07-2018
Reliance Consumption Fund - Direct Plan - Equity - Others : Growth,"₹ 330,000.00","₹ 423,995.85","₹ 93,995.85",28.48%,66,9.10%,02-02-2013,25-07-2018
Reliance Consumption Fund - Direct Plan - Equity - Others : Dividend,"₹ 330,000.00","₹ 328,649.16","₹ -1,350.84",-0.41%,66,-0.15%,02-02-2013,25-07-2018
Reliance Focused Equity Fund - Direct Plan - Equity - Small Cap : Dividend,"₹ 330,000.00","₹ 425,809.56","₹ 95,809.56",29.03%,66,9.25%,02-02-2013,25-07-2018
Reliance Focused Equity Fund - Direct Plan - Equity - Small Cap : Growth,"₹ 330,000.00","₹ 570,910.73","₹ 240,910.73",73.00%,66,20.06%,02-02-2013,25-07-2018
Reliance Growth Fund - Direct Plan - Equity - Midcap : Dividend,"₹ 330,000.00","₹ 381,221.50","₹ 51,221.50",15.52%,66,5.22%,02-02-2013,25-07-2018
Reliance Growth Fund - Direct Plan - Equity - Midcap : Growth,"₹ 330,000.00","₹ 514,036.31","₹ 184,036.31",55.77%,66,16.17%,02-02-2013,25-07-2018
Reliance Index Fund - Nifty Plan - Direct Plan - Equity - LargeCap : Growth,"₹ 330,000.00","₹ 477,168.86","₹ 147,168.86",44.60%,66,13.43%,02-02-2013,25-07-2018
Reliance Index Fund - Nifty Plan - Direct Plan - Equity - LargeCap : Dividend-Annual,"₹ 330,000.00","₹ 477,168.78","₹ 147,168.78",44.60%,66,13.43%,02-02-2013,25-07-2018
Reliance Index Fund - Nifty Plan - Direct Plan - Equity - LargeCap : Dividend-Quarterly,"₹ 330,000.00","₹ 477,168.77","₹ 147,168.77",44.60%,66,13.43%,02-02-2013,25-07-2018
Reliance Index Fund - Nifty Plan - Direct Plan - Equity - LargeCap : Dividend-Half Yearly,"₹ 330,000.00","₹ 477,168.87","₹ 147,168.87",44.60%,66,13.43%,02-02-2013,25-07-2018
Reliance Index Fund - Sensex Plan - Direct Plan - Equity - LargeCap : Dividend-Quarterly,"₹ 330,000.00","₹ 478,113.07","₹ 148,113.07",44.88%,66,13.50%,02-02-2013,25-07-2018
Reliance Index Fund - Sensex Plan - Direct Plan - Equity - LargeCap : Dividend-Half Yearly,"₹ 330,000.00","₹ 478,113.37","₹ 148,113.37",44.88%,66,13.50%,02-02-2013,25-07-2018
Reliance Index Fund - Sensex Plan - Direct Plan - Equity - LargeCap : Growth,"₹ 330,000.00","₹ 478,113.17","₹ 148,113.17",44.88%,66,13.50%,02-02-2013,25-07-2018
Reliance Index Fund - Sensex Plan - Direct Plan - Equity - LargeCap : Dividend-Annual,"₹ 330,000.00","₹ 478,113.07","₹ 148,113.07",44.88%,66,13.50%,02-02-2013,25-07-2018
Reliance Japan Equity Fund - Direct Plan - Equity - International Funds : Growth,"₹ 240,000.00","₹ 283,103.59","₹ 43,103.59",17.96%,48,8.31%,02-02-2013,25-07-2018
Reliance Japan Equity Fund - Direct Plan - Equity - International Funds : Dividend,"₹ 240,000.00","₹ 283,103.59","₹ 43,103.59",17.96%,48,8.31%,02-02-2013,25-07-2018
Reliance Large Cap Fund - Direct Plan - Equity - LargeCap : Growth,"₹ 330,000.00","₹ 521,601.21","₹ 191,601.21",58.06%,66,16.71%,02-02-2013,25-07-2018
Reliance Large Cap Fund - Direct Plan - Equity - LargeCap : Dividend,"₹ 330,000.00","₹ 392,321.41","₹ 62,321.41",18.89%,66,6.27%,02-02-2013,25-07-2018
Reliance Multi Cap Fund - Direct Plan - Equity - MultiCap : Growth,"₹ 330,000.00","₹ 476,012.11","₹ 146,012.11",44.25%,66,13.34%,02-02-2013,25-07-2018
Reliance Multi Cap Fund - Direct Plan - Equity - MultiCap : Dividend,"₹ 330,000.00","₹ 349,386.63","₹ 19,386.63",5.87%,66,2.06%,02-02-2013,25-07-2018
Reliance Pharma Fund - Direct Plan - Equity - Pharma : Growth,"₹ 330,000.00","₹ 429,739.75","₹ 99,739.75",30.22%,66,9.59%,02-02-2013,25-07-2018
Reliance Pharma Fund - Direct Plan - Equity - Pharma : Dividend,"₹ 330,000.00","₹ 325,983.19","₹ -4,016.81",-1.22%,66,-0.44%,02-02-2013,25-07-2018
Reliance Power & Infra Fund - Direct Plan - Equity - Others : Dividend,"₹ 330,000.00","₹ 352,421.40","₹ 22,421.40",6.79%,66,2.38%,02-02-2013,25-07-2018
Reliance Power & Infra Fund - Direct Plan - Equity - Others : Growth,"₹ 330,000.00","₹ 480,370.15","₹ 150,370.15",45.57%,66,13.67%,02-02-2013,25-07-2018
Reliance Quant Fund - Direct Plan - Equity - LargeCap : Dividend,"₹ 330,000.00","₹ 387,012.05","₹ 57,012.05",17.28%,66,5.77%,02-02-2013,25-07-2018
Reliance Quant Fund - Direct Plan - Equity - LargeCap : Growth,"₹ 330,000.00","₹ 454,592.05","₹ 124,592.05",37.76%,66,11.65%,02-02-2013,25-07-2018
Reliance Retirement Fund - Wealth Creation Scheme - Direct Plan - Equity - MultiCap : Growth,"₹ 210,000.00","₹ 262,399.82","₹ 52,399.82",24.95%,42,12.95%,02-02-2013,25-07-2018
Reliance Retirement Fund - Wealth Creation Scheme - Direct Plan - Equity - MultiCap : Dividend,"₹ 210,000.00","₹ 262,399.82","₹ 52,399.82",24.95%,42,12.95%,02-02-2013,25-07-2018
Reliance US Equity Opportunities Fund - Direct Plan - Equity - International Funds : Growth,"₹ 185,000.00","₹ 254,020.63","₹ 69,020.63",37.31%,37,21.43%,02-02-2013,25-07-2018
Reliance US Equity Opportunities Fund - Direct Plan - Equity - International Funds : Dividend,"₹ 185,000.00","₹ 254,020.63","₹ 69,020.63",37.31%,37,21.43%,02-02-2013,25-07-2018
Reliance Value Fund - Direct Plan - Equity - MidCap : Dividend,"₹ 330,000.00","₹ 387,011.39","₹ 57,011.39",17.28%,66,5.77%,02-02-2013,25-07-2018
Reliance Value Fund - Direct Plan - Equity - Midcap : Growth,"₹ 330,000.00","₹ 517,785.89","₹ 187,785.89",56.90%,66,16.44%,02-02-2013,25-07-2018
Reliance Vision Fund - Direct Plan - Equity - LargeCap : Growth,"₹ 330,000.00","₹ 454,043.55","₹ 124,043.55",37.59%,66,11.60%,02-02-2013,25-07-2018
Reliance Vision Fund - Direct Plan - Equity - LargeCap : Dividend,"₹ 330,000.00","₹ 331,850.99","₹ 1,850.99",0.56%,66,0.20%,02-02-2013,25-07-2018
Reliance Banking & PSU Debt Fund - Direct Plan - Debt - Income : Dividend-Monthly,"₹ 195,000.00","₹ 195,878.23",₹ 878.23,0.45%,39,0.27%,02-02-2013,25-07-2018
Reliance Banking & PSU Debt Fund - Direct Plan - Debt - Income : Dividend-Quarterly,"₹ 195,000.00","₹ 198,999.85","₹ 3,999.85",2.05%,39,1.24%,02-02-2013,25-07-2018
Reliance Banking & PSU Debt Fund - Direct Plan - Debt - Income : Growth,"₹ 195,000.00","₹ 217,724.69","₹ 22,724.69",11.65%,39,6.82%,02-02-2013,25-07-2018
Reliance Banking & PSU Debt Fund - Direct Plan - Debt - Income : Dividend,"₹ 195,000.00","₹ 217,724.58","₹ 22,724.58",11.65%,39,6.82%,02-02-2013,25-07-2018
Reliance Banking & PSU Debt Fund - Direct Plan - Debt - Income : Dividend-Weekly,"₹ 195,000.00","₹ 195,014.98",₹ 14.98,0.01%,39,0.00%,02-02-2013,25-07-2018
Reliance Credit Risk Fund - Direct Plan - Debt - Credit Opportunities : Dividend,"₹ 230,000.00","₹ 270,062.19","₹ 40,062.19",17.42%,46,8.43%,02-02-2013,25-07-2018
Reliance Credit Risk Fund - Direct Plan - Debt - Credit Opportunities : Dividend-Quarterly,"₹ 330,000.00","₹ 334,508.52","₹ 4,508.52",1.37%,66,0.49%,02-02-2013,25-07-2018
Reliance Credit Risk Fund - Direct Plan - Debt - Credit Opportunities : Growth,"₹ 330,000.00","₹ 423,737.54","₹ 93,737.54",28.41%,66,9.07%,02-02-2013,25-07-2018
Reliance Dynamic Bond Fund - Direct Plan - Debt - Dynamic Bond : Growth,"₹ 330,000.00","₹ 405,154.59","₹ 75,154.59",22.77%,66,7.44%,02-02-2013,25-07-2018
Reliance Dynamic Bond Fund - Direct Plan - Debt - Dynamic Bond : Dividend-Quarterly,"₹ 330,000.00","₹ 330,206.01",₹ 206.01,0.06%,66,0.02%,02-02-2013,25-07-2018
Reliance Dynamic Bond Fund - Direct Plan - Debt - Dynamic Bond : Dividend,"₹ 330,000.00","₹ 364,098.31","₹ 34,098.31",10.33%,66,3.56%,02-02-2013,25-07-2018
Reliance Floating Rate Fund - Direct Plan - Debt - Short Term : Dividend,"₹ 295,000.00","₹ 336,368.73","₹ 41,368.73",14.02%,59,5.33%,02-02-2013,25-07-2018
Reliance Floating Rate Fund - Direct Plan - Debt - Short Term : Dividend-Monthly,"₹ 330,000.00","₹ 338,914.10","₹ 8,914.10",2.70%,66,0.96%,02-02-2013,25-07-2018
Reliance Floating Rate Fund - Direct Plan - Debt - Short Term : Growth,"₹ 330,000.00","₹ 408,827.06","₹ 78,827.06",23.89%,66,7.77%,02-02-2013,25-07-2018
Reliance Floating Rate Fund - Direct Plan - Debt - Short Term : Dividend-Quarterly,"₹ 285,000.00","₹ 292,399.44","₹ 7,399.44",2.60%,57,0.99%,02-02-2013,25-07-2018
Reliance Floating Rate Fund - Direct Plan - Debt - Short Term : Dividend-Weekly,"₹ 330,000.00","₹ 330,249.00",₹ 249.00,0.08%,66,0.03%,02-02-2013,25-07-2018
Reliance Gilt Securities Fund - Direct Plan - Debt - Gilt Medium & Long Term : Growth,"₹ 330,000.00","₹ 429,202.81","₹ 99,202.81",30.06%,66,9.54%,02-02-2013,25-07-2018
Reliance Gilt Securities Fund - Direct Plan - Debt - Gilt Medium & Long Term : Dividend,"₹ 330,000.00","₹ 340,397.97","₹ 10,397.97",3.15%,66,1.12%,02-02-2013,25-07-2018
Reliance Gilt Securities Fund - Direct Plan - Defined Maturity Date Option - Debt - Gilt Medium & Long Term : Growth,"₹ 305,000.00","₹ 390,197.63","₹ 85,197.63",27.93%,61,9.71%,02-02-2013,25-07-2018
Reliance Income Fund - Direct Plan - Debt - Income : Growth,"₹ 330,000.00","₹ 403,525.32","₹ 73,525.32",22.28%,66,7.29%,02-02-2013,25-07-2018
Reliance Income Fund - Direct Plan - Debt - Income : Dividend-Quarterly,"₹ 330,000.00","₹ 325,558.41","₹ -4,441.59",-1.35%,66,-0.49%,02-02-2013,25-07-2018
Reliance Income Fund - Direct Plan - Debt - Income : Dividend-Monthly,"₹ 330,000.00","₹ 329,733.28",₹ -266.72,-0.08%,66,-0.03%,02-02-2013,25-07-2018
Reliance Income Fund - Direct Plan - Debt - Income : Dividend-Half Yearly,"₹ 325,000.00","₹ 324,895.92",₹ -104.08,-0.03%,65,-0.01%,02-02-2013,25-07-2018
Reliance Income Fund - Direct Plan - Debt - Income : Dividend-Annual,"₹ 330,000.00","₹ 329,643.37",₹ -356.63,-0.11%,66,-0.04%,02-02-2013,25-07-2018
Reliance Liquid Fund - Direct Plan - Debt - Liquid : Dividend-Monthly,"₹ 330,000.00","₹ 326,617.96","₹ -3,382.04",-1.02%,66,-0.37%,02-02-2013,25-07-2018
Reliance Liquid Fund - Direct Plan - Debt - Liquid : Dividend-Quarterly,"₹ 330,000.00","₹ 329,403.52",₹ -596.48,-0.18%,66,-0.07%,02-02-2013,25-07-2018
Reliance Liquid Fund - Direct Plan - Debt - Liquid : Growth,"₹ 330,000.00","₹ 408,107.26","₹ 78,107.26",23.67%,66,7.70%,02-02-2013,25-07-2018
Reliance Low Duration Fund - Direct Plan - Debt - Ultra Short Term : Dividend-Monthly,"₹ 330,000.00","₹ 328,602.59","₹ -1,397.41",-0.42%,66,-0.15%,02-02-2013,25-07-2018
Reliance Low Duration Fund - Direct Plan - Debt - Ultra Short Term : Dividend-Weekly,"₹ 330,000.00","₹ 330,861.90",₹ 861.90,0.26%,66,0.09%,02-02-2013,25-07-2018
Reliance Low Duration Fund - Direct Plan - Debt - Ultra Short Term : Dividend-Quarterly,"₹ 330,000.00","₹ 330,201.72",₹ 201.72,0.06%,66,0.02%,02-02-2013,25-07-2018
Reliance Low Duration Fund - Direct Plan - Debt - Ultra Short Term : Growth,"₹ 330,000.00","₹ 412,447.57","₹ 82,447.57",24.98%,66,8.09%,02-02-2013,25-07-2018
Reliance Low Duration Fund - Direct Plan - Debt - Ultra Short Term : Dividend,"₹ 285,000.00","₹ 338,095.45","₹ 53,095.45",18.63%,57,7.20%,02-02-2013,25-07-2018
Reliance Money Market Fund - Direct Plan - Debt - Liquid : Dividend-Monthly,"₹ 330,000.00","₹ 331,776.46","₹ 1,776.46",0.54%,66,0.19%,02-02-2013,25-07-2018
Reliance Money Market Fund - Direct Plan - Debt - Liquid : Growth,"₹ 330,000.00","₹ 408,218.85","₹ 78,218.85",23.70%,66,7.71%,02-02-2013,25-07-2018
Reliance Money Market Fund - Direct Plan - Debt - Liquid : Dividend-Quarterly,"₹ 285,000.00","₹ 285,103.73",₹ 103.73,0.04%,57,0.02%,02-02-2013,25-07-2018
Reliance Nivesh Lakshya Fund - Direct Plan - Debt - Income : Growth,"₹ 5,000.00","₹ 5,023.79",₹ 23.79,0.48%,1,11.44%,02-02-2013,25-07-2018
Reliance Nivesh Lakshya Fund - Direct Plan - Debt - Income : Dividend-Quarterly,"₹ 5,000.00","₹ 5,023.79",₹ 23.79,0.48%,1,11.44%,02-02-2013,25-07-2018
Reliance Nivesh Lakshya Fund - Direct Plan - Debt - Income : Dividend-Annual,"₹ 5,000.00","₹ 5,023.79",₹ 23.79,0.48%,1,11.44%,02-02-2013,25-07-2018
Reliance Nivesh Lakshya Fund - Direct Plan - Debt - Income : Dividend-Half Yearly,"₹ 5,000.00","₹ 5,023.79",₹ 23.79,0.48%,1,11.44%,02-02-2013,25-07-2018
Reliance Nivesh Lakshya Fund - Direct Plan - Debt - Income : Dividend-Monthly,"₹ 5,000.00","₹ 5,023.79",₹ 23.79,0.48%,1,11.44%,02-02-2013,25-07-2018
Reliance Nivesh Lakshya Fund - Direct Plan - Debt - Income : Dividend,"₹ 5,000.00","₹ 5,023.79",₹ 23.79,0.48%,1,11.44%,02-02-2013,25-07-2018
Reliance Prime Debt Fund - Direct Plan - Debt - Short Term : Dividend-Quarterly,"₹ 330,000.00","₹ 339,009.63","₹ 9,009.63",2.73%,66,0.97%,02-02-2013,25-07-2018
Reliance Prime Debt Fund - Direct Plan - Debt - Short Term : Dividend-Monthly,"₹ 330,000.00","₹ 342,347.74","₹ 12,347.74",3.74%,66,1.33%,02-02-2013,25-07-2018
Reliance Prime Debt Fund - Direct Plan - Debt - Short Term : Dividend,"₹ 280,000.00","₹ 315,216.67","₹ 35,216.67",12.58%,56,5.07%,02-02-2013,25-07-2018
Reliance Prime Debt Fund - Direct Plan - Debt - Short Term : Dividend-Weekly,"₹ 330,000.00","₹ 329,830.78",₹ -169.22,-0.05%,66,-0.02%,02-02-2013,25-07-2018
Reliance Prime Debt Fund - Direct Plan - Debt - Short Term : Growth,"₹ 330,000.00","₹ 414,386.82","₹ 84,386.82",25.57%,66,8.26%,02-02-2013,25-07-2018
Reliance Short Term Fund - Direct Plan - Debt - Short Term : Dividend-Monthly,"₹ 330,000.00","₹ 339,867.03","₹ 9,867.03",2.99%,66,1.06%,02-02-2013,25-07-2018
Reliance Short Term Fund - Direct Plan - Debt - Short Term : Dividend,"₹ 285,000.00","₹ 336,590.70","₹ 51,590.70",18.10%,57,7.01%,02-02-2013,25-07-2018
Reliance Short Term Fund - Direct Plan - Debt - Short Term : Growth,"₹ 330,000.00","₹ 411,390.56","₹ 81,390.56",24.66%,66,8.00%,02-02-2013,25-07-2018
Reliance Short Term Fund - Direct Plan - Debt - Short Term : Dividend-Quarterly,"₹ 330,000.00","₹ 339,466.80","₹ 9,466.80",2.87%,66,1.02%,02-02-2013,25-07-2018
Reliance Strategic Debt Fund - Direct Plan - Debt - Credit Opportunities : Dividend,"₹ 250,000.00","₹ 275,572.97","₹ 25,572.97",10.23%,50,4.67%,02-02-2013,25-07-2018
Reliance Strategic Debt Fund - Direct Plan - Debt - Credit Opportunities : Dividend-Quarterly,"₹ 250,000.00","₹ 258,105.59","₹ 8,105.59",3.24%,50,1.52%,02-02-2013,25-07-2018
Reliance Strategic Debt Fund - Direct Plan - Debt - Credit Opportunities : Growth,"₹ 250,000.00","₹ 298,542.80","₹ 48,542.80",19.42%,50,8.56%,02-02-2013,25-07-2018
Reliance Ultra Short Duration Fund - Direct Plan - Debt - Liquid : Dividend-Quarterly,"₹ 330,000.00","₹ 330,040.28",₹ 40.28,0.01%,66,0.00%,02-02-2013,25-07-2018
Reliance Ultra Short Duration Fund - Direct Plan - Debt - Liquid : Growth,"₹ 330,000.00","₹ 409,463.98","₹ 79,463.98",24.08%,66,7.82%,02-02-2013,25-07-2018
